DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,WD,WS,PWR,BATT,CHRG,RUN,SD,RAW,127,80,2,-7,6,0,0.00000,0.00000.1,0.1,3394425633,216,83,-10,0.2,1121389567,AQI
2025-02-21 00:28:54-08:00,23.29,178.87100000000004,10.836,9.3765,4.248,481.05,22.3,30.3,0.01,0.78,0.79,0.0,0.0,1,13.87,0.0,30.28,1,-2,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4736000000000002
2025-02-21 00:29:54-08:00,23.29,181.08200000000002,9.198,9.156,4.296,480.47,22.3,30.1,0.0,0.55,0.69,0.0,0.0,1,14.12,243.36,33.46,1,-3,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2992000000000001
2025-02-21 00:30:54-08:00,23.29,181.08200000000002,8.793,10.227,4.344,479.78,22.3,30.4,0.03,0.48,0.58,0.0,0.0,1,14.09,141.56,27.86,1,-4,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2528000000000001
2025-02-21 00:31:54-08:00,23.29,183.887,9.378,9.345,4.404,481.86,22.3,30.2,0.01,0.34,0.37,0.0,0.0,1,14.02,39.98,29.36,1,-5,60.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1528
2025-02-21 00:32:54-08:00,23.29,179.53100000000003,9.999,8.9355,5.0760000000000005,482.07,22.3,30.2,0.0,0.49,0.5,0.0,0.0,1,13.98,11.29,32.81,1,-3,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.4072
2025-02-21 00:33:55-08:00,23.29,181.984,9.738000000000001,9.0615,4.8,481.41,22.3,30.1,0.1,0.47,0.66,0.0,0.0,1,13.95,3.19,26.83,1,-4,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3359999999999999
2025-02-21 00:34:55-08:00,23.29,180.411,9.423,9.366,4.296,480.09,22.3,30.2,0.04,0.33,0.39,0.0,0.0,1,13.95,0.9,27.84,1,-4,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.1232000000000002
2025-02-21 00:35:55-08:00,23.29,178.42000000000002,9.504000000000001,9.828,3.36,478.84,22.3,30.2,0.03,0.19,0.27,0.0,0.0,1,13.91,0.25,33.64,1,-2,60.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,0.8240000000000001
2025-02-21 00:36:55-08:00,23.29,179.69600000000003,9.864,8.9355,4.584,478.05,22.3,30.2,0.01,0.47,0.65,0.0,0.0,1,13.91,0.07,27.6,1,-3,59.0,2.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.2928
2025-02-21 00:37:55-08:00,23.29,176.143,10.035,9.261000000000001,4.68,478.31,22.3,30.3,0.0,0.48,0.58,0.0,0.0,1,13.87,0.02,28.13,1,-1,59.0,1.0,1.0,STAT,0,LAT,LON,W,CRC,,,,,,,1.3199999999999998
