DATE,TE,CO,NO,NO2,O3,CO2,T,RH,PM1.0,PM2.5,PM10,167,50,3,1973479744,93,43,1,-2,480185926,AQI
2025-03-15 11:44:38-07:00,22.25,300.729,11.223,11.529000000000002,14.472,402.0,21.2,27.5,3.63,5.42,5.74,28.0,2.0,3.0,,,,,,,7.2304
2025-03-15 11:45:38-07:00,22.24,295.988,11.385,11.6445,14.268,401.92,21.2,27.5,3.94,5.8,6.31,28.0,1.0,3.0,,,,,,,7.4936
2025-03-15 11:46:38-07:00,22.23,294.404,11.610000000000001,10.5105,15.803999999999998,401.35,21.2,27.5,4.06,6.04,6.27,27.0,1.0,2.0,,,,,,,7.992800000000001
2025-03-15 11:47:38-07:00,22.22,293.425,11.277,11.3925,13.991999999999999,401.12,21.2,27.5,4.72,6.54,6.62,28.0,1.0,2.0,,,,,,,8.0304
2025-03-15 11:48:38-07:00,22.21,301.23500000000007,10.044,11.172,15.143999999999998,401.04,21.2,27.5,4.82,6.96,6.98,29.0,2.0,3.0,,,,,,,8.5968
2025-03-15 11:49:38-07:00,22.2,278.696,10.368,10.962,16.02,401.02,21.2,27.6,4.61,6.58,6.91,29.0,2.0,3.0,,,,,,,8.468
2025-03-15 11:50:38-07:00,22.2,302.357,10.998000000000001,11.172,15.623999999999999,401.01,21.2,27.6,4.6,6.56,7.15,28.0,2.0,2.0,,,,,,,8.3728
2025-03-15 11:51:38-07:00,22.2,295.81200000000007,11.457,10.542,15.323999999999998,401.3,21.2,27.5,4.41,6.36,6.94,28.0,2.0,2.0,,,,,,,8.152800000000001
2025-03-15 11:52:38-07:00,22.19,297.308,12.276000000000002,11.0565,15.576,401.75,21.2,27.5,4.66,6.97,7.43,28.0,2.0,3.0,,,,,,,8.6912
2025-03-15 11:53:38-07:00,22.19,295.79,11.700000000000001,11.4555,16.715999999999998,401.91,21.2,27.6,4.51,6.41,6.56,28.0,2.0,3.0,,,,,,,8.4712
2025-03-15 11:54:40-07:00,22.19,296.461,11.061,10.8465,18.131999999999998,401.97,21.2,27.6,4.3,5.96,6.01,28.0,2.0,3.0,,,,,,,8.3944
2025-03-15 11:55:40-07:00,22.19,297.19800000000004,9.909,10.993500000000001,16.464,401.99,21.2,27.6,4.39,6.06,6.25,29.0,2.0,3.0,,,,,,,8.140799999999999
2025-03-15 11:56:40-07:00,22.19,291.55500000000006,11.645999999999999,10.878,16.5,402.09,21.2,27.6,4.3,6.11,6.17,27.0,2.0,3.0,,,,,,,8.188
2025-03-15 11:57:40-07:00,22.19,295.31700000000006,10.827,10.5945,17.688,402.03,21.2,27.6,4.11,5.96,6.49,27.0,2.0,3.0,,,,,,,8.3056
2025-03-15 11:58:40-07:00,22.19,291.55500000000006,11.628,11.487,14.808,402.01,21.2,27.6,4.15,6.21,6.56,27.0,2.0,3.0,,,,,,,7.929600000000001
2025-03-15 11:59:39-07:00,22.19,297.95700000000005,12.636,11.8545,14.147999999999998,402.0,21.2,27.6,4.26,5.93,6.41,28.0,1.0,3.0,,,,,,,7.573599999999999
2025-03-15 12:00:39-07:00,22.19,298.41900000000004,10.908,10.7835,15.924,401.87,21.2,27.6,4.69,6.43,6.84,29.0,2.0,3.0,,,,,,,8.328800000000001
2025-03-15 12:01:39-07:00,22.19,301.07,11.493,10.2585,16.956,401.34,21.2,27.6,4.83,6.74,6.87,28.0,2.0,3.0,,,,,,,8.7832
2025-03-15 12:02:40-07:00,22.19,299.40900000000005,10.278,10.4475,16.907999999999998,401.12,21.2,27.6,4.67,6.7,6.85,28.0,2.0,3.0,,,,,,,8.7416
2025-03-15 12:03:40-07:00,22.19,298.683,10.962,11.13,14.652000000000001,401.34,21.2,27.7,4.04,6.28,6.47,28.0,2.0,2.0,,,,,,,7.9544000000000015
2025-03-15 12:04:40-07:00,22.19,302.599,10.215,11.424000000000001,13.728,401.15,21.2,27.6,3.92,5.72,5.78,28.0,2.0,2.0,,,,,,,7.3216
2025-03-15 12:05:41-07:00,22.19,293.293,10.683,10.395000000000001,15.696,401.7,21.2,27.7,4.21,6.38,6.4,28.0,2.0,3.0,,,,,,,8.2432
2025-03-15 12:06:41-07:00,22.19,267.70700000000005,10.575000000000001,10.2585,16.535999999999998,401.9,21.2,27.7,4.17,6.36,6.37,28.0,2.0,3.0,,,,,,,8.3952
